"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"HCHC","HC2 Holdings, Inc.","5.58","$233.35M","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/hchc",
"HEB","Hemispherx BioPharma, Inc.","0.4999","$12.05M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/heb",
"HLM^","Hillman Group Capital Trust","33.65","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hlm^",
"HMG","HMG/Courtland Properties, Inc.","10.6","$10.63M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hmg",
"HH","Hooper Holmes, Inc.","0.7808","$7.89M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hh",
"HUSA","Houston American Energy Corporation","0.2499","$12.81M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/husa",
"IBIO","iBio, Inc.","0.4065","$36.22M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ibio",
"IBO","IBO (Listing Market - NYSE Amex Network B F)","153.82","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ibo",
"IEC","IEC Electronics Corp.","4.0271","$41.39M","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/iec",
"IMUC","ImmunoCellular Therapeutics, Ltd.","2.55","$8.78M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imuc",
"IMUC.WS","ImmunoCellular Therapeutics, Ltd.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/imuc.ws",
"IMH","Impac Mortgage Holdings, Inc.","13.4","$214.61M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/imh",
"IMO","Imperial Oil Limited","30.75","$26.06B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/imo",
"IOT","Income Opportunity Realty Investors, Inc.","10","$41.68M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/iot",
"IRT","Independence Realty Trust, Inc.","9.22","$636.14M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/irt",
"IGC","India Globalization Capital Inc.","0.2917","$8.05M","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/igc",
"INFU","InfuSystems Holdings, Inc.","2.3","$52.14M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/infu",
"IHT","InnSuites Hospitality Trust","2.16","$20.91M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/iht",
"NSPR","InspireMD, Inc.","2.42","$3.56M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/nspr",
"NSPR.WS","InspireMD, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nspr.ws",
"IFMI","Institutional Financial Markets, Inc.","1.34","$16.2M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ifmi",
"IDN","Intellicheck Mobilisa, Inc.","2.44","$25.78M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/idn",
"INS","Intelligent Systems Corporation","4.64","$40.51M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ins",
"THM","International Tower Hill Mines Ltd","0.5","$81.09M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/thm",
"INTT","inTest Corporation","5.1849","$53.8M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/intt",
"INUV","Inuvo, Inc","1.45","$41.24M","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/inuv",
"VKI","Invesco Advantage Municipal Income Trust II","11.07","$491.41M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vki",
"ISR","IsoRay, Inc.","0.5599","$30.8M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/isr",
"ISDR","Issuer Direct Corporation","10.2","$29.17M","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/isdr",
"JRJR","JRjr33, Inc.","0.7","$27.57M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/jrjr",
"KIQ","Kelso Technologies Inc","0.921","$42.75M","n/a","Capital Goods","Railroads","http://www.nasdaq.com/symbol/kiq",
"KLDX","Klondex Mines Ltd.","5.07","$891.49M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/kldx",
"LTS","Ladenburg Thalmann Financial Services Inc","2.19","$424.62M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/lts",
"LTS^A","Ladenburg Thalmann Financial Services Inc","25.0268","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lts^a",
"LAQ","Latin America Equity Fund, Inc. (The)","22","$163.87M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/laq",
"LGL","LGL Group, Inc. (The)","5.28","$14.07M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lgl",
"LBY","Libbey, Inc.","13.54","$295.76M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lby",
"LIQT","LiqTech International, Inc.","0.481","$19.01M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/liqt",
"MCZ","Mad Catz Interactive Inc","0.0743","$5.46M","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/mcz",
"MAG","MAG Silver Corporation","14.16","$1.14B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/mag",
"MJCO","Majesco","5.13","$187.23M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mjco",
"MSTX","Mast Therapeutics, Inc.","0.1132","$28.84M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/mstx",
"MHH","Mastech Digital, Inc","6.68","$29.87M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/mhh",
"MTNB","Matinas Biopharma Holdings, Inc.","3.79","$330.91M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtnb",
"IPB","Merrill Lynch & Co., Inc.","26.75","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/ipb",
"MXC","Mexco Energy Corporation","4.25","$8.66M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mxc",
"CCA","MFS California Insured Municipal Trust","11.47","$31.96M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cca",
"MPO","MIDSTATES PETROLEUM COMPANY, INC.","19.95","$498.65M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mpo",
"MLSS","Milestone Scientific, Inc.","1.525","$46.05M","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/mlss",
"MVF","MuniVest Fund, Inc.","9.8","$630.56M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mvf",
"MZA","MuniYield Arizona Fund, Inc.","14.9487","$68.96M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mza",
"NNVC","NanoViricides, Inc.","1.13","$70.99M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/nnvc",
"ATEST","NASDAQ TEST STOCK","25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atest",
"ATEST.A","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atest.a",
"ATEST.B","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atest.b",
"ATEST.C","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/atest.c",
"NHC","National HealthCare Corporation","74.39","$1.13B","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/nhc",
"NAVB","Navidea Biopharmaceuticals, Inc.","0.7","$112.83M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/navb",
"NTIP","Network-1 Technologies, Inc.","3.8","$88.65M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ntip",
"NBW","Neuberger Berman California Intermediate Municipal Fund Inc.","14.21","$78.8M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nbw",
"NHS","Neuberger Berman High Yield Strategies Fund","12.09","$236.25M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nhs",
"NBH","Neuberger Berman Intermediate Municipal Fund Inc.","14.99","$281.66M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nbh",
"NML","Neuberger Berman MLP Income Fund Inc.","10.41","$589.82M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nml",
"NBO","Neuberger Berman New York Intermediate Municipal Fund Inc.","12.55","$63.71M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nbo",
"NRO","Neuberger Berman Real Estate Securities Income Fund, Inc.","5.43","$257.49M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nro",
"UWN","Nevada Gold & Casinos, Inc.","2.1021","$37.11M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/uwn",
"NSU","Nevsun Resources Ltd","2.52","$760.71M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nsu",
"GBR","New Concept Energy, Inc","1.53","$2.98M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gbr",
"NEN","New England Realty Associates Limited Partnership","64.6","$242.08M","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/nen",
"NGD","New Gold Inc.","2.87","$1.47B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ngd",
"HLTH","Nobilis Health Corp.","2.1","$163.02M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hlth",
"NSAT","Norsat International Inc.","7.95","$46.5M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/nsat",
"NAK","Northern Dynasty Minerals, Ltd.","1.44","$426.1M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nak",
"NOG","Northern Oil and Gas, Inc.","3","$189.09M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nog",
"NBY","NovaBay Pharmaceuticals, Inc.","4","$60.54M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nby",
"NG","Novagold Resources Inc.","5.09","$1.64B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ng",
"NTN","NTN Buzztime, Inc.","5.8","$13.11M","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/ntn",
"NJV","Nuveen New Jersey Municipal Value Fund","15.48","$24M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/njv",
"NPN","Nuveen Pennsylvania Municipal Value Fund","16.05","$19.58M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/npn",
"OCX","OncoCyte Corporation","5.85","$171.77M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/ocx",
"OGEN","Oragenics, Inc.","0.6221","$30.65M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ogen",
"TIS","Orchids Paper Products Company","29.05","$299.12M","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/tis",
"ONP","Orient Paper, Inc.","1.11","$23.81M","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/onp",
"ORM","Owens Realty Mortgage, Inc.","16.74","$171.54M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/orm",
"PHF","Pacholder High Yield Fund, Inc.","7.8975","$102.64M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/phf",
"PCG^A","Pacific Gas & Electric Co.","31.8147","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^a",
"PCG^B","Pacific Gas & Electric Co.","29.05","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^b",
"PCG^C","Pacific Gas & Electric Co.","25.65","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^c",
"PCG^D","Pacific Gas & Electric Co.","26.55","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^d",
"PCG^E","Pacific Gas & Electric Co.","26.2898","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^e",
"PCG^G","Pacific Gas & Electric Co.","24.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^g",
"PCG^H","Pacific Gas & Electric Co.","24.6907","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^h",
"PCG^I","Pacific Gas & Electric Co.","24.5446","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^i",
"PTN","Palatin Technologies, Inc.","0.371","$51.18M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ptn",
"PARR","Par Pacific Holdings, Inc.","15.41","$701.25M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/parr",
"PZG","Paramount Gold Nevada Corp.","1.75","$31.11M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/pzg",
"TEUM","Pareteum Corporation","2.29","$659650.53","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/teum",
"PRK","Park National Corporation","108.59","$1.66B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/prk",
"PED","Pedevco Corp.","0.1059","$5.28M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ped",
"PFNX","Pfenex Inc.","7.25","$169.78M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pfnx",
"PIP","PharmAthene, Inc","0.68","$46.79M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pip",
"HNW","Pioneer Diversified High Income Trust","16.46","$137.16M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hnw",
"PLG","Platinum Group Metals Ltd.","1.6","$212.91M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/plg",
"PLM","Polymet Mining Corp.","0.7958","$253.5M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/plm",
"PW","Power REIT","6.74","$12.03M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/pw",
"PW^A","Power REIT","25.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pw^a",
"PLX","Protalix BioTherapeutics, Inc.","1.04","$128.73M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/plx",
"RLGT","Radiant Logistics, Inc.","5.57","$271.83M","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/rlgt",
"RLGT^A","Radiant Logistics, Inc.","26.75","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rlgt^a",
"UTG","Reaves Utility Income Fund","33.55","$1.15B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/utg",
"REED","Reeds, Inc.","3.8","$53.1M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/reed",
"RWC","RELM Wireless Corporation","5.0726","$69.77M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/rwc",
"RCG","RENN Fund, Inc.","1.42","$6.34M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rcg",
"RVP","Retractable Technologies, Inc.","1.05","$33.24M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/rvp",
"RNN","Rexahn Pharmaceuticals, Inc.","0.2371","$56.3M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rnn",
"REI","Ring Energy, Inc.","11.61","$562.41M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rei",
"RIF","RMR Real Estate Income Fund","21.27","$162.75M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rif",
"SACH","Sachem Capital Corp.","5.07","$56.45M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/sach",
"SGA","Saga Communications, Inc.","50.55","$296.23M","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/sga",
"SSN","Samson Oil & Gas Limited","0.5699","$9.35M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ssn",
"SPP","Sanchez Production Partners LP","12.65","$167.66M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/spp",
"SAND          ","Sandstorm Gold Ltd","4.2","$638.11M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/sand",
"SEB","Seaboard Corporation","3884.56","$4.55B","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/seb",
"SENS","Senseonics Holdings, Inc.","2.31","$217.04M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/sens",
"SVT","Servotronics, Inc.","10.29","$25.39M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/svt",
"SIF","SIFCO Industries, Inc.","8.25","$45.61M","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/sif",
"SKY","Skyline Corporation","12.61","$105.81M","n/a","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/sky",
"XPL","Solitario Exploration & Royalty Corp","0.75","$29.03M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/xpl",
"SCE^B","Southern California Edison Company","24.1615","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^b",
"SCE^C","Southern California Edison Company","23.79","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^c",
"SCE^D","Southern California Edison Company","24.64","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^d",
"SCE^E","Southern California Edison Company","24.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^e",
"SGB","Southwest Georgia Financial Corporation","23","$58.59M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sgb",
"LOV","Spark Networks, Inc.","0.9385","$29.91M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/lov",
"STRP","Straight Path Communications Inc.","32.63","$406.67M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/strp",
"SSY","SunLink Health Systems, Inc.","1.62","$15.3M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/ssy",
"SDPI","Superior Drilling Products, Inc.","1.07","$25.78M","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/sdpi",
"STS","Supreme Industries, Inc.","19.84","$339.05M","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/sts",
"SYRG","Synergy Resources Corporation","8.13","$1.63B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/syrg",
"SYN","Synthetic Biologics, Inc","0.7649","$89.63M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/syn",
"TRX","Tanzanian Royalty Exploration Corporation","0.445","$52.36M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/trx",
"TGB","Taseko Mines Limited","1.38","$306.18M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tgb",
"TIK","Tel-Instrument Electronics Corp.","5.3","$17.26M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/tik",
"TGC","Tengasco, Inc.","0.55","$5.83M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tgc",
"GLU","The Gabelli Global Utility and Income Trust","17.82","$73.26M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/glu",
"GLU^A","The Gabelli Global Utility and Income Trust","51.3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/glu^a",
"GGO","The Gabelli Go Anywhere Trust","18.2","$109.2M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ggo",
"GGO^A","The Gabelli Go Anywhere Trust","50","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ggo^a",
"TXMD","TherapeuticsMD, Inc.","6.91","$1.36B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/txmd",
"TGD","Timmons Gold Corp","0.3736","$132.86M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tgd",
"TMP","Tompkins Financial Corporation","89.3","$1.35B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/tmp",
"TAT","Transatlantic Petroleum Ltd","1.11","$52.41M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tat",
"TRXC","TransEnterix, Inc.","1.32","$178.14M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/trxc",
"TPLM","Triangle Petroleum Corporation","0.2564","$19.63M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tplm",
"TMQ","Trilogy Metals Inc.","0.4708","$49.67M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tmq",
"TPHS","Trinity Place Holdings Inc.","8.18","$240.01M","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/tphs",
"TRT","Trio-Tech International","3.85","$13.53M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/trt",
"HTM","U.S. Geothermal Inc.","4.29","$81.01M","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/htm",
"UFAB","Unique Fabricating, Inc.","11.28","$109.61M","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/ufab",
"UAMY","United States Antimony Corporation","0.4","$26.75M","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/uamy",
"UUU","Universal Security Instruments, Inc.","3.05","$7.05M","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/uuu",
"UQM","UQM TECHNOLOGIES INC","0.45","$21.84M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/uqm",
"URG","Ur Energy Inc","0.7199","$103.43M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/urg",
"UEC","Uranium Energy Corp.","1.32","$178.47M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/uec",
"VSR","Versar, Inc.","1.04","$10.29M","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/vsr",
"VII","Vicon Industries, Inc.","0.3728","$3.49M","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/vii",
"VHC","VirnetX Holding Corp","2.24","$126.98M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/vhc",
"VGZ","Vista Gold Corporation","1.01","$98.76M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/vgz",
"VNRX","VolitionRX Limited","4.34","$113.24M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/vnrx",
"VISI","Volt Information Sciences, Inc.","7.05","$147.47M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/visi",
"EAD","Wells Fargo Income Opportunities Fund","8.55","$606.25M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ead",
"ERC","Wells Fargo Multi-Sector Income Fund","13.33","$548.7M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/erc",
"ERH","Wells Fargo Utilities and High Income Fund","12.51","$115.61M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/erh",
"SBI","Western Asset Intermediate Muni Fund Inc","9.49","$133.64M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sbi",
"WRN","Western Copper and Gold Corporation","1.45","$137.7M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/wrn",
"WYY","WidePoint Corporation","0.6952","$57.51M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/wyy",
"WTT","Wireless Telecom Group,  Inc.","1.53","$33.98M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/wtt",
"XTNT","Xtant Medical Holdings, Inc.","0.5099","$9.23M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xtnt",
"YUMA","Yuma Energy, Inc.","2.36","$28.79M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/yuma",
"ZDGE","Zedge, Inc.","3.45","$32.4M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/zdge",
